,Venue id,Rating
168,539c6f13498e06f4cc765165,8.3
169,4fe4a773e4b0ef61f5212ecd,7.3
170,568dcf20498e1601e2f8b87f,7.3
171,560b1653498e1a2dfa4af722,8.0
172,4d306dd82748b60c62b6dba0,7.8
173,58e91d60e0adac258fcea481,7.8
174,4adf8077f964a5202d7b21e3,7.2
175,4c4e2474f53d0f47f18b13a6,7.1
176,4e8363c6e5fa5681e8c00e54,7.3
177,4ae3398ff964a520ed9121e3,7.7
178,52f6816f11d24a43115dc834,7.5
179,5a62412b1108ba191da5ba06,7.7
180,599cb69eb5461876d54ab713,7.2
181,4c9cd4d37c096dcb9034c5d1,7.1
182,4ad9ffbbf964a520091d21e3,6.7
183,4aea2b14f964a520ebb921e3,6.7
184,574ad72238fa943556d93b8e,8.6
185,4af618daf964a520220122e3,8.6
186,4b72f550f964a5202e922de3,8.9
187,4b49183ff964a520a46526e3,8.1
188,506db1a9e4b0a3f3b31412f0,8.7
189,5214e7c111d2a83379eae21f,8.3
190,50b7c53616485cd9efad60d5,8.1
191,5b5bca904aa3f8002c97f85d,8.5
192,534effeb498e6464d5c4885c,8.4
193,4b86b209f964a520cf9631e3,8.4
194,561ffc99498e1468dac63cdd,8.3
195,4b0f3cd2f964a520b66023e3,8.2
196,54593679498e9c3b842c216d,7.6
197,4d3997e1687ca35dbd0081c4,7.7
198,4ba90db8f964a5203f073ae3,7.4
199,4adc5c6af964a520da2b21e3,7.3
200,4dfe1cf0a809d61e2fc568ce,7.2
201,4ba5616ff964a520390139e3,6.8
202,4ad4c061f964a520acf720e3,6.7
203,4ad4c05df964a52055f620e3,6.8
204,4eb812340aaf1abee067d8ee,0.0
205,4b56a44ff964a5206e1728e3,8.3
206,5b5bca904aa3f8002c97f85d,8.5
207,4b0f3cd2f964a520b66023e3,8.2
208,534effeb498e6464d5c4885c,8.4
209,4b86b209f964a520cf9631e3,8.4
210,50b7c53616485cd9efad60d5,8.1
211,54593679498e9c3b842c216d,7.6
212,5a4fdf56772fbc5e9fa73c7f,8.0
213,4b75f350f964a5207c312ee3,7.6
214,50fd7b1b582f9d035e57a426,7.6
215,4b9137f3f964a520e2aa33e3,7.7
216,526c649111d2200c3216dbc2,7.3
217,4b744336f964a520d8d02de3,8.1
218,539c6f13498e06f4cc765165,8.3
219,4a8355bff964a520d3fa1fe3,7.8
220,504bbf2ce4b0168121235cbe,8.0
221,4ae7b27df964a52068ad21e3,8.0
222,4aeb711ef964a52017c221e3,8.7
223,52f6816f11d24a43115dc834,7.5
224,52d884c5498ecf5c7cafe5ab,7.6
225,4df909dfe4cd2129701c0690,7.7
226,4b8c0fa3f964a52085bb32e3,7.5
227,57c07e5f498ed3724a049dc1,7.0
228,4ba8f061f964a520e8fb39e3,7.0
229,59f25bd825ecca5f1cf24d0c,6.7
230,54fb2f8d498e724a96c14f91,6.4
231,5ab3d9f875a6ea3a7ddc4d2b,6.4
232,552db032498e660b6506230c,5.7
233,5aff06ca6e4650002cc6286b,8.3
234,4ad69511f964a520e40721e3,8.3
235,50ecb1fae4b0beb13294f0aa,8.3
236,50468014e4b01c18bb731df8,8.0
237,509bb871e4b09c7ac93f6642,8.6
238,55fc571f498ec35023360858,8.0
239,529612de11d2ab526191ccc9,9.1
240,5b1a76586f0aa2002c5d9a0c,7.5
241,5578720f498ee3b165b1f32b,7.9
242,5321f4d9e4b07946702e6e08,9.0
243,4afa1f33f964a520e91622e3,7.7
244,4ad4c05df964a52059f620e3,8.7
245,506db1a9e4b0a3f3b31412f0,8.7
246,52ec621e498ec68fa15ee922,8.1
247,5214e7c111d2a83379eae21f,8.3
248,50e44770e4b0e03a48c0d8a8,7.8
249,4ac4e289f964a520699f20e3,8.0
250,4b50d070f964a5206d3327e3,7.1
251,4ee117150cd686aafce847f4,7.7
252,4ae7199ff964a52068a821e3,7.7
253,5632426a498e0433cad5aa04,7.1
254,57d0a3fb498e0fb29e892eed,7.5
255,4bd5ba4c637ba593dcddf670,7.6
256,4c9fbdd77c096dcbfe43e1d1,7.7
257,56201ed4498e7f700c462170,8.5
258,4ae33054f964a520759121e3,8.0
259,54b9b9aa498e6f9349fd2125,7.6
260,50b79b94e4b0a577af25a83f,7.5
261,5c893d57a87921002c566a2d,7.4
262,501d4d55e4b0825080212f3c,7.5
263,5481b06c498ee191fa045a00,7.2
264,5526b50e498e3acfe3916daf,7.0
265,5a23467c47f8762eb7bdfc90,7.6
266,4be81c74ee96c92873a7fdbf,7.1
267,59a0c566fc9e941199511d9f,7.4
268,4f15c767e4b0380207013250,7.2
269,4b6c9b5ff964a52027462ce3,6.6
270,4ad4c05df964a52059f620e3,8.7
271,5a4fdf56772fbc5e9fa73c7f,8.0
272,55fc571f498ec35023360858,8.0
273,4ae73054f964a5203ca921e3,7.7
